stik KF
A18	B6-36-15
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-29-11N
11N	B4-31-10N	B4-29-12N
12N	B4-31-11N
13N					x
14N					x
15N	BF2-B5
end

kort	B4-31	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-31-14N
7					x
8					x
10					x
11	B6-42-10N
12					x
13	-1.5V*22
14	L-22
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-30-11N
11N	B4-32-10N	B4-30-12N
12N	B4-32-11N
13N					x
14N					x
15N	BF2-C5
end

kort	B4-32	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-32-14N
7	STEL				x
8					x
10					x
11	B6-42-9N
12					x
13	-1.5V*23
14	L-23
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-31-11N
11N	B4-33-10N	B4-31-12N
12N	B4-33-11N
13N					x
14N					x
15N	BF2-D5
end

kort	B4-33	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-33-14N
7					x
8					x
10					x
11	B6-43-3
12					x
13	-1.5V*24
14	L-24
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-32-11N
11N	B4-34-10N	B4-32-12N
12N	B4-34-11N
13N					x
14N					x
15N	BF2-E5
end

kort	B4-34	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-34-14N
7					x
8					x
10					x
11	B6-43-5
12					x
13	-1.5V*25
14	L-25
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-33-11N
11N	B4-35-10N	B4-33-12N
12N	B4-35-11N
13N					x
14N					x
15N	BF2-A6
end

kort	B4-35	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-35-14N
7					x
8					x
10					x
11	B6-43-10N
12					x
13	-1.5V*26
14	L-26
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-34-11N
11N	B4-36-10N	B4-34-12N
12N	B4-36-11N
13N					x
14N					x
15N	BF2-B6
end

kort	B4-36	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-36-14N
7					x
8					x
10					x
11	B6-43-9N
12					x
13	-1.5V*27
14	L-27
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-35-11N
11N	B4-37-10N	B4-35-12N
12N	B4-37-11N
13N					x
14N					x
15N	BF2-C6
end

kort	B4-37	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-37-14N
7					x
8					x
10					x
11	B6-44-3
12					x
13	-1.5V*28
14	L-28
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-36-11N
11N	B4-38-10N	B4-36-12N
12N	B4-38-11N
13N					x
14N					x
15N	BF2-D6
end

kort	B4-38	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-38-14N
7	STEL				x
8					x
10					x
11	B6-44-5
12					x
13	-1.5V*29
14	L-29
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-37-11N
11N	B4-39-10N	B4-37-12N
12N	B4-39-11N
13N					x
14N					x
15N	BF2-E6
end

kort	B4-39	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-39-14N
7					x
8	B4-28-3				x
10	B5-27-7				x
11	B6-44-10N
12	B5-27-3				x
13	-1.5V*30
14	L-30
15	B5-27-5				x
1N	B4-28-7				x
3N					x
5N	B4-28-5				x
7N					x
8N	B5-26-3				x
9N	B5-26-7				x
10N	B4-38-11N
11N	B4-40-10N	B4-38-12N
12N	B4-40-11N
13N					x
14N					x
15N	BF2-A7
end

kort	B4-40	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-40-14N
7					x
8					x
10					x
11	B6-44-9N
12					x
13	-1.5V*31
14	L-31
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-39-11N
11N	B4-41-10N	B4-39-12N
12N	B4-41-11N
13N					x
14N					x
15N	BF2-B7
end

kort	B4-41	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-41-14N
7					x
8					x
10					x
11	B6-45-3
12					x
13	-1.5V*32
14	L-32
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-40-11N
11N	B4-42-10N	B4-40-12N
12N	B4-42-11N
13N					x
14N					x
15N	BF2-C7
end

kort	B4-42	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-42-14N
7					x
8					x
10					x
11	B6-45-5
12					x
13	-1.5V*33
14	L-33
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-41-11N
11N	B4-43-10N	B4-41-12N
12N	B4-43-11N
13N					x
14N					x
15N	BF2-D7
end

kort	B4-43	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-43-14N
7					x
8					x
10					x
11	B6-45-10N
12					x
13	-1.5V*34
14	L-34
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-42-11N
11N	B4-44-10N	B4-42-12N
12N	B4-44-11N
13N					x
14N					x
15N	BF2-E7
end

kort	B4-44	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-44-14N
7					x
8					x
10					x
11	B6-45-9N
12					x
13	-1.5V*35
14	L-35
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-43-11N
11N	B4-45-10N	B4-43-12N
12N	B4-45-11N
13N					x
14N					x
15N	BF2-A8
end

kort	B4-45	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-45-14N
7	STEL				x
8					x
10					x
11	B6-46-3
12					x
13	-1.5V*36
14	L-36
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-44-11N
11N	B4-46-10N	B4-44-12N
12N	B4-46-11N
13N					x
14N					x
15N	BF2-B8
end

kort	B4-46	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-46-14N
7					x
8					x
10					x
11	B6-46-5
12					x
13	-1.5V*37
14	L-37
15					x
1N					x
3N					x
5N					x
7N					x
8N					x
9N					x
10N	B4-45-11N
11N	B4-47-10N	B4-45-12N
12N	B4-47-11N
13N					x
14N					x
15N	BF2-C8
end

kort	B4-47	0202-22	AC-MD-MQ
1					x
2					x
3					x
4					x
5	B3-47-14N
7					x
8					x
10					x
11	B6-46-10N
12					x
13	-1.5V*38
14	L-38
15					x
1N					x
2N	B6-36-2
3N					x
4N	B6-36-3
5N					x
7N					x
8N					x
9N					x
10N	B4-46-11N
11N	B4-48-10N	B4-46-12N
12N	B4-48-11N
13N					x
14N					x
15N	BF2-D8
end

kort	B4-48	0202-23	AC-MD-MQ
1	B4-50-1				x
2					x
3					x
4	B4-50-12			x
5	B3-48-14N
6	B3-27-14N
7					x
8	B4-49-5N			x
9	B3-50-9N
10					x
11	B6-46-9N
12					x
13	B3-48-11	B5-48-3N
14	B3-48-8		B5-48-5N
15					x
1N	B2-50-10N			x
2N	B6-37-1
3N					x
5N					x
7N					x
9N					x
10N	B4-47-11N
11N	B4-47-12N	A5-6-10N
13N	B4-50-10			x
14N	B4-50-15			x
15N	BF2-E8
end

kort	B4-49	0202-18	MD40 og 41
2	B4-50-6N			x
3	B4-50-7N			x
7	STEL
8	B4-49-5N
10	B4-49-12
11	B6-47-3
12	B4-49-10			x
13	B5-50-3N
14	B5-49-5N
1N	B5-49-3N
5N	B4-48-8	B4-49-8
6N	B5-50-5N
11N	BF2-B9
12N	B6-47-5
15N	BF2-A9
end

kort	B4-50	0214	standard forstærk
1	B4-48-1
2	B4-50-8					# Bo
3	B4-50-9					# Bo
4	C1-19-2					# _H41
5	C1-19-3					# H41
6	C1-19-4					# _H40
7	C1-19-5					# H40
8	C1-20-4N	B4-50-2			# Bo OR39
9	C1-20-8		B4-50-3			# Bo OR38
10	B4-48-13N
12	B4-48-4
14	B4-28-3N
15	B4-48-14N
6N	B4-49-2
7N	B4-49-3
8N	B5-47-12
9N	B5-48-12
10N	B2-49-15N
11N	B2-49-14N
12N	B2-50-15N
13N	B2-50-14N
14N	C2-23-10	B4-50-15N
15N	B4-50-14N
end
tværtråd	B5
1	50-29		28-26
2	50-29
3	50-29
4	46-29
7	50-29
8	50-47	46-29
10	48-39	38-36	35-29
11	50-39	38-29
13	50-26
14	50-29
15			28-26
1N			28-26
2N	50-29		28-26
3N			28-26
7N	50-29
9N	50-39	38-29
10N	50-39	38-29
15N	50-39	38-29
end

kort	B5-26	0211	Gm
1	+10.5V				x
2	B4-29-8N				# Gm MQ20-29 v.skift
3	B4-39-8N				# Gm MQ30-38 v.skift
4	B3-50-13				# Gm linie0 -> MQ39
5	B3-50-12				# Gm 0 -> MQ39
6	B4-29-9N				# Gm MQ20-29 h.skift
7	B4-39-9N				# Gm MQ30-39 h.skift
13	-1.5V				x
15					x
1N	+4.5V				x
2N	-13.5V				x
3N					x
4N	H7-W
5N	H7-U
6N	H7-T
7N	H7-R
8N	H7-LL
9N	H7-JJ
10N	H10-S
11N	H10-P
12N	H7-KK
13N	H7-HH
14N	H7-FF
15N	H7-DD
end

kort	B5-27	0211	Gm
1					x
2	B4-29-12				# Gm MD20-29
3	B4-39-12				# Gm MD30-39
4	B4-29-15				# Gm AC20-29
5	B4-39-15				# Gm AC30-39
6	B4-29-10				# Gm MQ20-29
7	B4-39-10				# Gm MQ30-39
13					x
15	STEL				x
1N					x
2N					x
3N	STEL				x
4N	H7-J
5N	H7-F
6N	H7-H
7N	H7-E
8N	H5-X
9N	H5-V
10N	H5-W
11N	H5-U
12N	H10-D
13N	H10-B
14N	H10-C
15N	H10-A
end

kort	B5-28	0211	Gm
1	B5-29-2				x
2	B5-29-10				# Gm OR20-26,40-41
3	B5-36-10				# Gm OR27-29
4	B5-39-10				# Gm OR30-39
5	B5-29-10N				# Gm TI20-29
6	B5-39-10N				# Gm TI30-41
13					x
15					x
1N					x
2N	B5-29-4				x
3N					x
6N	H8-X
7N	H8-V
8N	H8-W
9N	H8-U
10N	H8-M
11N	H8-K
12N	H8-J
13N	H8-F
14N	H8-H
15N	H8-E
end

kort	B5-29	0224	O-OR-TI
1	-31.5V				x
2	B5-28-1				x
3	-13.5V				x
4	B5-28-2N			x
5	C4-16-15N
6	C4-8-15N
7					x
8	-3.0V				x
9	C2-20-14N
10	B5-28-2				x
11	B4-26-2				x
13					x
14	A6-25-14			x
15	KB3-D
1N	KB3-A
2N	+1.5V				x
3N	B4-29-13
5N	B4-29-14	B6-40-2			# L-20
7N	B4-27-7				x
8N	KB3-C
9N	B4-26-4				x
10N	B5-28-5				x
11N	A6-25-13N
12N	A6-25-14N
13N	B5-30-11N
14N	B5-30-12N
15N	C3-25-11N			x 	# Se bem. C3-25
end

kort	B5-30	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C4-16-14N
6	C4-12-14N
7					x
8					x
9	B6-36-6N
10					x
11					x
13					x
14					x
15	KB3-J
1N	KB3-E
2N					x
3N	-1.5V*21
5N	L-21		B6-40-4
7N					x
8N	KB3-H
9N					x
10N					x
11N	B5-29-13N
12N	B5-29-14N
13N	B5-31-11N
14N	B5-31-12N
15N					x
end

kort	B5-31	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C4-16-13N
6	C4-14-13N
7	STEL				x
8					x
10					x
11					x
12	C2-20-12N
13					x
14					x
15	KB3-N
1N	KB3-K
2N					x
3N	-1.5V*22
5N	L-22		B6-40-6
7N					x
8N	KB3-M
9N					x
10N					x
11N	B5-30-13N
12N	B5-30-14N
13N	B5-32-11N
14N	B5-32-12N
15N					x
end

kort	B5-32	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C4-16-12N
6	C4-15-12N
7	STEL				x
8					x
9	A4-1-15N
10					x
11					x
12	C2-20-4N	B6-36-5N
13					x
14					x
15	KB3-T
1N	KB3-P
2N					x
3N	-1.5V*23
5N	L-23		B6-40-8
7N					x
8N	KB3-S
9N					x
10N					x
11N	B5-31-13N
12N	B5-31-14N
13N	B5-33-11N
14N	B5-33-12N
15N					x
end

kort	B5-33	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C4-16-10N
6	C4-16-11N
7					x
8					x
9	A4-1-1
10					x
11					x
12	B6-36-4N
13					x
14					x
15	KB3-X
1N	KB3-U
2N					x
3N	-1.5V*24
5N	L-24		B6-40-4N
7N					x
8N	KB3-W
9N					x
10N					x
11N	B5-32-13N
12N	B5-32-14N
13N	B5-34-11N
14N	B5-34-12N
15N					x
end

kort	B5-34	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C4-16-8N
6	C4-16-9N
7					x
8					x
10					x
11					x
12	A4-1-2		C2-22-15N
13					x
14					x
15	KB3-BB
1N	KB3-Y
2N					x
3N	-1.5V*25
5N	L-25		B6-40-6N
7N					x
8N	KB3-AA
9N					x
10N					x
11N	B5-33-13N
12N	B5-33-14N
13N	B5-35-11N
14N	B5-35-12N
15N					x
end

kort	B5-35	0224	O-OR-TI
1					x
2					x
3					x
4					x
7					x
8					x
9	B6-36-3N
10	B5-49-10			x
11					x
12	B6-36-2N
13					x
14					x
15	KB3-FF
1N	KB3-CC
2N					x
3N	-1.5V*26
5N	L-26		B6-40-8N
7N					x
8N	KB3-EE
9N					x
10N					x
11N	B5-34-13N
12N	B5-34-14N
13N	B5-36-11N
14N	B5-36-12N
15N					x
end

kort	B5-36	0224	O-OR-TI
1					x
2					x
3					x
4					x
# XXX: 6 til stel ??
6	STEL
7					x
8					x
9	B6-36-1N
10	B5-28-3				x
11					x
12	B6-36-6		C2-20-3N
13					x
14					x
15	KB3-LL
1N	KB3-HH
2N					x
3N	-1.5V*27
5N	L-27		B6-40-10N
7N					x
8N	KB3-KK
9N					x
10N					x
11N	B5-35-13N
12N	B5-35-14N
13N	B5-37-11N
14N	B5-37-12N
15N					x
end

kort	B5-37	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	B6-38-10N
6	B6-38-11N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB3-V
1N	KB3-DD
2N					x
3N	-1.5V*28
5N	L-28		B6-40-12N
7N					x
8N	KB3-NN
9N					x
10N					x
11N	B5-36-13N
12N	B5-36-14N
13N	B5-38-11N
14N	B5-38-12N
15N					x
end

kort	B5-38	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	B6-38-8N
6	B6-38-9N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB3-R
1N	KB3-Z
2N					x
3N	-1.5V*29
5N	L-29		B6-40-14N
7N					x
8N	KB3-JJ
9N					x
10N					x
11N	B5-37-13N
12N	B5-37-14N
13N	B5-39-11N
14N	B5-39-12N
15N					x
end

kort	B5-39	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	B6-39-10N
6	B6-39-11N
7					x
8					x
10	B5-28-4				x
11	B4-26-3				x
12	B6-36-5
13					x
14					x
15	KB4-D
1N	KB4-A
2N					x
3N	-1.5V*30
5N	L-30		B6-40-3
7N					x
8N	KB4-C
9N	B4-26-5				x
10N	B5-28-6				x
11N	B5-38-13N
12N	B5-38-14N
13N	B5-40-11N
14N	B5-40-12N
15N	C3-25-12N			x	# Se bem. C3-25
end

kort	B5-40	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	B6-39-8N
6	B6-39-9N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB4-J
1N	KB4-E
2N					x
3N	-1.5V*31
5N	L-31		B6-40-5
7N					x
8N	KB4-H
9N					x
10N					x
11N	B5-39-13N
12N	B5-39-14N
13N	B5-41-11N
14N	B5-41-12N
15N					x
end

kort	B5-41	0224	O-OR-TI
1					x
2					x
3					x
4					x
7					x
8					x
9	B3-27-12N
10					x
11					x
13					x
14					x
15	KB4-N
1N	KB4-K
2N					x
3N	-1.5V*32
5N	L-32		B6-40-7
7N					x
8N	KB4-M
9N					x
10N					x
11N	B5-40-13N
12N	B5-40-14N
13N	B5-42-11N
14N	B5-42-12N
15N					x
end

kort	B5-42	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C2-23-11N
6	C2-23-10N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB4-T
1N	KB4-P
2N					x
3N	-1.5V*33
5N	L-33		B6-40-9
7N					x
8N	KB4-S
9N					x
10N					x
11N	B5-41-13N
12N	B5-41-14N
13N	B5-43-11N
14N	B5-43-12N
15N					x
end

kort	B5-43	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C2-23-9N
6	C2-23-8N
7	STEL				x
8					x
10					x
11					x
13					x
14					x
15	KB4-X
1N	KB4-U
2N					x
3N	-1.5V*34
5N	L-34		B6-40-5N
7N					x
8N	KB4-W
9N					x
10N					x
11N	B5-42-13N
12N	B5-42-14N
13N	B5-44-11N
14N	B5-44-12N
15N					x
end

kort	B5-44	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C2-25-12N
6	C2-24-12N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB4-BB
1N	KB4-Y
2N					x
3N	-1.5V*35
5N	L-35		B6-40-7N
7N					x
8N	KB4-AA
9N					x
10N					x
11N	B5-43-13N
12N	B5-43-14N
13N	B5-45-11N
14N	B5-45-12N
15N					x
end

kort	B5-45	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C2-25-11N
6	C2-25-10N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB4-FF
1N	KB4-CC
2N					x
3N	-1.5V*36
5N	L-36		B6-40-9N
7N					x
8N	KB4-EE
9N					x
10N					x
11N	B5-44-13N
12N	B5-44-14N
13N	B5-46-11N
14N	B5-46-12N
15N					x
end

kort	B5-46	0224	O-OR-TI
1					x
2					x
3					x
4					x
5	C2-25-9N
6	C2-25-8N
7					x
8					x
10					x
11					x
13					x
14					x
15	KB4-LL
1N	KB4-HH
2N					x
3N	-1.5V*37
5N	L-37		B6-40-11N
7N					x
8N	KB4-KK
9N					x
10N					x
11N	B5-45-13N
12N	B5-45-14N
13N	B5-47-11N
14N	B5-47-12N
15N					x
end

kort	B5-47	0224	O-OR-TI
1					x
2					x
3					x
4	-4.5V		B5-48-4	
5	C1-21-2
6	C1-25-2
7					x
8					x
10					x
11					x
12	B4-50-8N
13					x
14					x
15	KB4-V
1N	KB4-DD
2N					x
3N	-1.5V*38
5N	L-38		B6-40-13N
7N					x
8N	KB4-NN
9N					x
10N					x
11N	B5-46-13N
12N	B5-46-14N
13N	B5-48-11N
14N	B5-48-12N
15N					x
end

kort	B5-48	0224	O-OR-TI
1					x
2					x
3					x
4	B5-47-4
5	C1-21-1
6	C1-25-11N
7	STEL				x
8					x
10					x
11					x
12	B4-50-9N
13					x
14					x
15	KB4-R
1N	KB4-Z
2N					x
3N	B4-48-13
5N	B4-48-14	B6-40-15N		# L-39
7N					x
8N	KB4-JJ
9N					x
10N					x
11N	B5-47-13N
12N	B5-47-14N
13N	B5-49-11N
14N	B5-49-12N
15N					x
end

kort	B5-49	0224	O-OR-TI
1					x
2					x
3					x
4			B5-50-4	
7					x
8					x
10	B5-35-10	B5-50-10
11					x
12	B6-36-4
13					x
14					x
15	KB3-B
1N	KB3-F
2N					x
3N	B2-49-11N	B4-49-1N
5N	B2-49-5N	B4-49-14
7N					x
8N	KB3-L
9N					x
10N					x
11N	B5-48-13N
12N	B5-48-14N
13N	B5-50-11N
14N	B5-50-12N
15N					x
end

kort	B5-50	0224-2	O-OR-TI
1					x
2					x
3	B5-50-4				x
4	B5-50-3		B5-49-4
7					x
8	B5-50-13			x
10	B5-49-10
11					x
12	B3-27-13N
13	B5-50-8				x
14	KB7-10				x
15	KB4-B
1N	KB4-F
3N	B2-50-11N	B4-49-13
5N	B2-50-5N	B4-49-6N
7N					x
8N	KB4-L
9N					x
10N					x
11N	B5-49-13N
12N	B5-49-14N
13N	C6-25-4N
14N	C6-25-4
15N					x
end
tværtråd	B6
1	47-42		31-27
2	47-42		31-27
6	47-42		31-27
7	47-42		31-27
9		37-36
12	47-42		31-27
13	47-42		31-27
1N	40-38
#2N	39-38				# Findes ikke
#3N	39-38				# Findes ikke
#7N	37-36				# Findes ikke
#8N	37-36				# Findes ikke
9N	37-36
end

kort	B6-26	1000-10	Co-,Co' og Opt fl-fl, AOK, Gm*, MD, Adr.00
2	B3-26-5
3	-13.5V
4	B3-26-6
5	C5-4-5
11	BF2-C10
12	BF1-D10
13	C5-4-11
14	+10.5V
15	STEL
1N	STEL
2N	BF2-A10
3N	-3.0V
6N	BF1-E10
8N	C2-22-15N
9N	-31.5V
10N	B6-27-12
12N	+1.5V
13N	BF2-B10
14N	C2-8-5N
15N	BF2-D10
end

kort	B6-27	0276	Kobling af YE til MD
1	-7.5V			x
2	STEL			x
3	A5-6-11
5	A5-7-11
6	+1.5V			x
7	+10.5V			x
8	HK1-C				# Hul 12 & Linie 0
9	BF1-A1
12	B6-26-10N		x	# BY 8,9 = 1,0
13	C2-1-15			x
14	HK1-H				# Hul 11 & Linie 1
15	BF1-B1
3N	BF1-D1
6N	BF1-C1
9N	A5-9-11
10N	A5-8-11
end

kort	B6-28	0276	Kobling af YE til MD
1				x
2				x
3	A5-10-11
5	A5-11-11
6				x
7				x
9	BF1-E1
12				x
13				x
15	BF1-A2
3N	BF1-C2
6N	BF1-B2
9N	A5-13-11
10N	A5-12-11
end

kort	B6-29	0276	Kobling af YE til MD
1				x
2				x
3	A5-14-11
5	A5-15-11
6				x
7				x
9	BF1-D2
12				x
13				x
15	BF1-E2
3N	BF1-B3
4N	HK1-U
6N	BF1-A3
7N	HK1-S
9N	A5-17-11
10N	A5-16-11
end

kort	B6-30	0276	Kobling af YE til MD
1				x
2				x
3	A5-18-11
5	A5-19-11
6				x
7				x
8	HK1-W
9	BF1-C3
12				x
13				x
14	HK1-Y
15	BF1-D3
3N	BF1-A4
4N	HK1-CC
6N	BF1-E3
7N	HK1-AA
9N	A5-21-11
10N	A5-20-11
end

kort	B6-31	0276	Kobling af YE til MD
1	B6-42-1			x
2	STEL			x
3	A5-22-11
5	A5-23-11
6	B6-42-6			x
7	B6-42-7			x
8	HK1-EE
9	BF1-B4
12	B6-42-12		x
13	B6-42-13		x
14	HK1-HH
15	BF1-C4
3N	BF1-E4
4N	HK1-MM
6N	BF1-D4
7N	HK1-KK
9N	A5-25-11
10N	A5-24-11
end

kort	B6-36	0200-14	Standardinvertere
1	B2-49-12N
2	B4-47-2N
3	B4-47-4N
4	B5-49-12
5	B5-39-12
6	B5-36-12
7	-4.5V		B6-37-7
8	+4.5V		B6-37-8
9				x
10	KF-B17				# Or27
11	KF-B18				# Or30
12	H22-M				# Or40
13	KF-A16				# MQ38
14	KF-A17				# _MQ38
15	KF-A18				# LI40
1N	B5-36-9
2N	B5-35-12
3N	B5-35-9
4N	B5-33-12
5N	B5-32-12
6N	B5-30-9
7N	B6-37-7		B6-37-7N
8N	B6-37-8		B6-37-8N
9N	STEL			x
10N	KF-C18				# _OR21
11N	H22-L				# OR23
12N	KF-B15				# OR24
13N	KF-B16				# _OR26
14N	H22-K				# OR26
15N	H22-J				# _OR27
end

kort	B6-37	0200-8	Standardinvertere
1	B4-48-2N
7	B6-36-7N	B6-36-7
8	B6-36-8N	B6-36-8
9	STEL			x
15	H22-N				# _MQ39
7N	B6-38-3N	B6-36-7N
8N			B6-36-8N
9N				x
end

kort	B6-38	0222-3	Afkodning af OR28-29 og OR30-31
3	H22-R
4	H22-P
5	H22-S
1N	+10.5V			x
2N	-1.5V		B6-39-2N
3N	B6-37-7N	B6-39-3N
8N	B5-38-5
9N	B5-38-6
10N	B5-37-5
11N	B5-37-6
end

kort	B6-39	0222-3	Afkodning af OR28-29 og OR30-31
3	KF-C17
5	H22-U
6	H22-T
1N				x
2N	B6-38-2N
3N	B6-38-3N
8N	B5-40-5
9N	B5-40-6
10N	B5-39-5
11N	B5-39-6
end

kort	B6-40	0260	Halvordsforskydning
2	B5-29-5N
3	B5-39-5N
4	B5-30-5N
5	B5-40-5N
6	B5-31-5N
7	B5-41-5N
8	B5-32-5N
9	B5-42-5N
10	H6-HH
11	H6-KK
12	STEL
13	+1.5V
1N				x
2N	-13.5V
3N	-3.0V
4N	B5-33-5N
5N	B5-43-5N
6N	B5-34-5N
7N	B5-44-5N
8N	B5-35-5N
9N	B5-45-5N
10N	B5-36-5N
11N	B5-46-5N
12N	B5-37-5N
13N	B5-47-5N
14N	B5-38-5N
15N	B5-48-5N
end

kort	B6-42	0276	Kobling YE til MD
1	B6-31-1			x
2	STEL			x
3	B4-29-11
5	B4-30-11
6	B6-31-6			x
7	B6-31-7			x
9	BF1-A5
12	B6-31-12		x
13	B6-31-13		x
15	BF1-B5
3N	BF1-D5
6N	BF1-C5
9N	B4-32-11
10N	B4-31-11
end

kort	B6-43	0276	Kobling YE til MD
1				x
2				x
3	B4-33-11
5	B4-34-11
6				x
7				x
9	BF1-E5
12				x
13				x
15	BF1-A6
3N	BF1-C6
6N	BF1-B6
9N	B4-36-11
10N	B4-35-11
end

kort	B6-44	0276	Kobling YE til MD
1				x
2				x
3	B4-37-11
5	B4-38-11
6				x
7				x
9	BF1-D6
12				x
13				x
15	BF1-E6
3N	BF1-B7
6N	BF1-A7
9N	B4-40-11
10N	B4-39-11
end

kort	B6-45	0276	Kobling YE til MD
1				x
2				x
3	B4-41-11
5	B4-42-11
6				x
7				x
9	BF1-C7
12				x
13				x
15	BF1-D7
3N	BF1-A8
4N	HK1-L
6N	BF1-E7
7N	HK1-F
9N	B4-44-11
10N	B4-43-11
end

kort	B6-46	0276	Kobling YE til MD
1				x
2				x
3	B4-45-11
5	B4-46-11
6				x
7				x
8	HK1-R
9	BF1-B8
12				x
13				x
14	HK1-V
15	BF1-C8
3N	BF1-E8
4N	HK1-DD
6N	BF1-D8
7N	HK1-Z
9N	B4-48-11
10N	B4-47-11
end

kort	B6-47	0276	Kobling YE til MD
1				x
2	STEL			x
3	B4-49-11
5	B4-49-12N
6				x
7				x
8	HK1-NN
9	BF1-A9
12				x
13				x
14	HK1-JJ
15	BF1-B9
end
tværtråd	C1
1		20-18	5-3
2	25-22
5	25-21	15-6
6	25-21	
7	20-18
8	20-18	5-3
9		5-3
10	15-6
11	25-21	15-6
12	25-22	5-3
13	25-21	15-6	5-3
14	25-21	5-3
15	25-22	20-18 15-6
2N	25-21	5-3
3N	20-18	15-6	5-3
4N	20-18	15-6
5N	20-18
6N	20-18
7N	25-21
8N	25-21
9N	15-6
11N	25-22	15-6
end

kort	C1-1	0204	Registervalg til KB
1	KB6-A
2	H14-P
3	KB6-B
4	H14-R
5	KB6-C
6	H14-S
7	KB6-D
8	H14-T
14	C1-2-14
15	C1-2-15
1N	C1-2-1N
8N	KB6-E
9N	H14-U
10N	KB6-F
11N	H14-V
12N	KB6-H
13N	H14-W
14N	KB6-J
15N	H14-X
end

kort	C1-2	0204	Registervalg til KB
1	KB6-K
2	H14-Y
3	KB6-L
4	H14-Z
5	KB6-M
6	H14-AA
7	KB6-N
8	H14-BB
9	KB6-U
10	H14-HH
14	C1-3-12	C1-1-14
15	STEL	C1-1-15
1N	C1-3-14	C1-1-1N
8N	KB6-P
9N	H14-CC
10N	KB6-R
11N	H14-DD
12N	KB6-S
13N	H14-EE
14N	KB6-T
15N	H14-FF
end

kort	C1-3	0210	Gs
1	C1-3-2N			x
2	A6-6-11				# GsAD0 (=OR0-9)
3	C6-3-4				# Gs 1->h
4	C6-3-3				# Gs 0->h
5	C3-1-15N			# Gs TR-adder mm
8				x
9				x
12	C1-2-14			x
13				x
14	C1-2-1N			x
2N	C1-3-1			x
3N				x
8N	H13-W
9N	H13-U
10N	H13-N
11N	H13-L
12N	H13-M
13N	H13-K
